lr_group_0,lr_group_1,step,train/loss_arc,train/loss_type,train/loss
2.9600000000000005e-06,2.9600000000000005e-06,113,,,
2.9866666666666667e-06,2.9866666666666667e-06,114,,,
3.0133333333333334e-06,3.0133333333333334e-06,115,,,
3.04e-06,3.04e-06,116,,,
3.066666666666667e-06,3.066666666666667e-06,117,,,
3.0933333333333335e-06,3.0933333333333335e-06,118,,,
3.12e-06,3.12e-06,119,,,
3.1466666666666665e-06,3.1466666666666665e-06,120,,,
3.1733333333333336e-06,3.1733333333333336e-06,121,,,
3.2000000000000003e-06,3.2000000000000003e-06,122,,,
3.2266666666666665e-06,3.2266666666666665e-06,123,,,
3.2533333333333332e-06,3.2533333333333332e-06,124,,,
3.2800000000000004e-06,3.2800000000000004e-06,125,,,
3.306666666666667e-06,3.306666666666667e-06,126,,,
3.3333333333333333e-06,3.3333333333333333e-06,127,,,
3.36e-06,3.36e-06,128,,,
3.386666666666667e-06,3.386666666666667e-06,129,,,
3.413333333333334e-06,3.413333333333334e-06,130,,,
3.44e-06,3.44e-06,131,,,
3.466666666666667e-06,3.466666666666667e-06,132,,,
3.493333333333333e-06,3.493333333333333e-06,133,,,
3.52e-06,3.52e-06,134,,,
3.546666666666667e-06,3.546666666666667e-06,135,,,
3.5733333333333336e-06,3.5733333333333336e-06,136,,,
3.6e-06,3.6e-06,137,,,
3.626666666666667e-06,3.626666666666667e-06,138,,,
3.6533333333333336e-06,3.6533333333333336e-06,139,,,
3.68e-06,3.68e-06,140,,,
3.7066666666666666e-06,3.7066666666666666e-06,141,,,
3.7333333333333337e-06,3.7333333333333337e-06,142,,,
3.7600000000000004e-06,3.7600000000000004e-06,143,,,
3.7866666666666667e-06,3.7866666666666667e-06,144,,,
3.8133333333333334e-06,3.8133333333333334e-06,145,,,
3.84e-06,3.84e-06,146,,,
3.866666666666667e-06,3.866666666666667e-06,147,,,
3.893333333333334e-06,3.893333333333334e-06,148,,,
3.92e-06,3.92e-06,149,,,
3.9466666666666664e-06,3.9466666666666664e-06,150,,,
3.973333333333334e-06,3.973333333333334e-06,151,,,
,,149,2.1281912326812744,2.076427936553955,4.204619407653809
